Linux 6.4.0-150600.23.25-default (cm4r13c06s01) 	06/01/26 	_x86_64_	(224 CPU)

11:49:53      UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
11:49:58        0        17         -    0.00    0.19    0.00    0.00    0.19    35  rcu_preempt
11:49:58        0         -        17    0.00    0.19    0.00    0.00    0.19    35  |__rcu_preempt
11:49:58        0      1515         -    0.19    0.00    0.00    0.00    0.19    26  kworker/26:1-events
11:49:58        0         -      1515    0.19    0.00    0.00    0.00    0.19    26  |__kworker/26:1-events
11:49:58        0      1521         -    0.19    0.00    0.00    0.19    0.19    33  kworker/33:1-events
11:49:58        0         -      1521    0.19    0.00    0.00    0.19    0.19    33  |__kworker/33:1-events
11:49:58        0      1531         -    0.19    0.00    0.00    0.00    0.19    45  kworker/45:1-events
11:49:58        0         -      1531    0.19    0.00    0.00    0.00    0.19    45  |__kworker/45:1-events
11:49:58        0      1542         -    0.00    0.19    0.00    0.00    0.19    57  kworker/57:1-events
11:49:58        0         -      1542    0.00    0.19    0.00    0.00    0.19    57  |__kworker/57:1-events
11:49:58        0      1543         -    0.19    0.00    0.00    0.00    0.19    58  kworker/58:1-events
11:49:58        0         -      1543    0.19    0.00    0.00    0.00    0.19    58  |__kworker/58:1-events
11:49:58        0      2573         -    0.00    0.19    0.00    0.00    0.19   166  kworker/u448:2-mlx5_cmd_0000:5a:00.0
11:49:58        0         -      2573    0.00    0.19    0.00    0.00    0.19   166  |__kworker/u448:2-mlx5_cmd_0000:5a:00.0
11:49:58        0      3170         -    0.19    0.00    0.00    0.00    0.19    27  kworker/27:2-events
11:49:58        0         -      3170    0.19    0.00    0.00    0.00    0.19    27  |__kworker/27:2-events
11:49:58        0      3583         -    0.19    0.00    0.00    0.00    0.19    70  kworker/70:2-events
11:49:58        0         -      3583    0.19    0.00    0.00    0.00    0.19    70  |__kworker/70:2-events
11:49:58      499      3627         -    0.19    0.00    0.00    0.00    0.19    32  dbus-daemon
