Linux 6.4.0-150600.23.25-default (cm4r13c05s08) 	06/01/26 	_x86_64_	(224 CPU)

13:38:43     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
13:38:48     all   22.68    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   76.99
13:38:48       0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
13:38:48       1   79.40    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   19.60
13:38:48       2   79.44    0.00    1.20    0.00    0.00    0.00    0.00    0.00    0.00   19.36
13:38:48       3   79.40    0.00    1.80    0.00    0.00    0.00    0.00    0.00    0.00   18.80
13:38:48       4   79.20    0.00    1.20    0.00    0.00    0.00    0.00    0.00    0.00   19.60
13:38:48       5   79.40    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   19.60
13:38:48       6   79.24    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   19.76
13:38:48       7   79.40    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   19.60
13:38:48       8   79.60    0.00    0.80    0.00    0.00    0.00    0.00    0.00    0.00   19.60
13:38:48       9   79.20    0.00    1.20    0.00    0.00    0.00    0.00    0.00    0.00   19.60
13:38:48      10   79.04    0.00    1.20    0.00    0.00    0.00    0.00    0.00    0.00   19.76
13:38:48      11   79.40    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   19.60
13:38:48      12   79.16    0.00    1.20    0.00    0.00    0.00    0.00    0.00    0.00   19.64
13:38:48      13   79.40    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   19.60
13:38:48      14   79.20    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   19.80
13:38:48      15   79.40    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   19.60
13:38:48      16   79.20    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   19.80
13:38:48      17   79.20    0.00    1.20    0.00    0.00    0.00    0.00    0.00    0.00   19.60
13:38:48      18   79.20    0.00    1.20    0.00    0.00    0.00    0.00    0.00    0.00   19.60
13:38:48      19   79.20    0.00    1.20    0.00    0.00    0.00    0.00    0.00    0.00   19.60
13:38:48      20   79.56    0.00    0.80    0.00    0.00    0.00    0.00    0.00    0.00   19.64
13:38:48      21   79.24    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   19.76
13:38:48      22   79.24    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   19.76
13:38:48      23   79.24    0.00    1.20    0.00    0.00    0.00    0.00    0.00    0.00   19.56
13:38:48      24   79.40    0.00    0.80    0.00    0.00    0.00    0.00    0.00    0.00   19.80
13:38:48      25   79.04    0.00    1.20    0.00    0.00    0.00    0.00    0.00    0.00   19.76
13:38:48      26   79.56    0.00    0.80    0.00    0.00    0.00    0.00    0.00    0.00   19.64
13:38:48      27   79.04    0.00    1.20    0.00    0.00    0.00    0.00    0.00    0.00   19.76
13:38:48      28   79.40    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   19.60
