# label=A2 dyn=true t=32 alg=cg
# iter  start_epoch_ms  duration_ms  time_in_seconds
1  1780317317397  9584  8.13
2  1780317326990  9274  7.98
3  1780317336273  9301  8.14
4  1780317345583  9742  8.57
5  1780317355333  8802  7.60
6  1780317364143  9769  8.63
7  1780317373921  9084  7.92
8  1780317383015  8970  7.78
9  1780317391994  8870  7.67
10  1780317400873  9672  8.48
11  1780317410554  10057  8.84
12  1780317420619  9673  8.46
13  1780317430300  6335  5.09
14  1780317436643  4277  3.75
15  1780317440924  4076  3.55
