Linux 6.4.0-150600.23.25-default (cm4r15c01s07) 	06/01/26 	_x86_64_	(224 CPU)

14:32:17     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
14:32:22     all   22.63    0.00    0.42    0.00    0.00    0.00    0.00    0.00    0.00   76.95
14:32:22       0    0.00    0.00    0.21    0.00    0.00    0.00    0.00    0.00    0.00   99.79
14:32:22       1   79.04    0.00    1.40    0.00    0.00    0.00    0.00    0.00    0.00   19.56
14:32:22       2   79.24    0.00    1.60    0.00    0.00    0.00    0.00    0.00    0.00   19.16
14:32:22       3   79.16    0.00    1.40    0.00    0.00    0.00    0.00    0.00    0.00   19.44
14:32:22       4   79.00    0.00    1.60    0.00    0.00    0.00    0.00    0.00    0.00   19.40
14:32:22       5   79.56    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   19.44
14:32:22       6   79.20    0.00    1.40    0.00    0.00    0.00    0.00    0.00    0.00   19.40
14:32:22       7   79.56    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   19.44
14:32:22       8   79.00    0.00    1.60    0.00    0.00    0.00    0.00    0.00    0.00   19.40
14:32:22       9   79.20    0.00    1.40    0.00    0.00    0.00    0.00    0.00    0.00   19.40
14:32:22      10   79.04    0.00    1.40    0.00    0.00    0.00    0.00    0.00    0.00   19.56
14:32:22      11   79.40    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   19.60
14:32:22      12   79.20    0.00    1.40    0.00    0.00    0.00    0.00    0.00    0.00   19.40
14:32:22      13   79.56    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   19.44
14:32:22      14   79.24    0.00    1.40    0.00    0.00    0.00    0.00    0.00    0.00   19.36
14:32:22      15   79.36    0.00    1.20    0.00    0.00    0.00    0.00    0.00    0.00   19.44
14:32:22      16   79.16    0.00    1.40    0.00    0.00    0.00    0.00    0.00    0.00   19.44
14:32:22      17   79.40    0.00    1.20    0.00    0.00    0.00    0.00    0.00    0.00   19.40
14:32:22      18   79.00    0.00    1.60    0.00    0.00    0.00    0.00    0.00    0.00   19.40
14:32:22      19   79.36    0.00    1.20    0.00    0.00    0.00    0.00    0.00    0.00   19.44
14:32:22      20   79.20    0.00    1.20    0.00    0.00    0.00    0.00    0.00    0.00   19.60
14:32:22      21   79.16    0.00    1.40    0.00    0.00    0.00    0.00    0.00    0.00   19.44
14:32:22      22   79.20    0.00    1.40    0.00    0.00    0.00    0.00    0.00    0.00   19.40
14:32:22      23   79.16    0.00    1.40    0.00    0.00    0.00    0.00    0.00    0.00   19.44
14:32:22      24   79.20    0.00    1.40    0.00    0.00    0.00    0.00    0.00    0.00   19.40
14:32:22      25   79.40    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   19.60
14:32:22      26   79.04    0.00    1.60    0.00    0.00    0.00    0.00    0.00    0.00   19.36
14:32:22      27   78.84    0.00    1.60    0.00    0.00    0.00    0.00    0.00    0.00   19.56
14:32:22      28   79.56    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   19.44
14:32:22      29   79.00    0.00    1.60    0.00    0.00    0.00    0.00    0.00    0.00   19.40
14:32:22      30   79.36    0.00    1.20    0.00    0.00    0.00    0.00    0.00    0.00   19.44
14:32:22      31   79.40    0.00    1.20    0.00    0.00    0.00    0.00    0.00    0.00   19.40
14:32:22      32   79.20    0.00    1.60    0.00    0.00    0.00    0.00    0.00    0.00   19.20
14:32:22      33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
14:32:22      34    0.20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.80
14:32:22      35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
14:32:22      36    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
14:32:22      37    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
14:32:22      38    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
14:32:22      39    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
14:32:22      40    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
14:32:22      41    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
14:32:22      42    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
14:32:22      43    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
14:32:22      44    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
14:32:22      45    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
14:32:22      46    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
14:32:22      47    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
