# label=B2 dyn=false t=32 alg=cg
# iter  start_epoch_ms  duration_ms  time_in_seconds
1  1780317317398  13142  11.85
2  1780317330547  13762  12.52
3  1780317344313  13638  12.39
4  1780317357960  12853  11.43
5  1780317370818  13636  12.34
6  1780317384462  13735  12.54
7  1780317398205  13719  12.39
8  1780317411928  14840  13.57
9  1780317426773  15271  14.01
10  1780317442053  13891  12.63
11  1780317455952  13206  11.97
12  1780317469166  13496  12.22
13  1780317482670  10131  8.94
14  1780317492804  4255  3.73
15  1780317497066  4363  3.83
