# label=B1 dyn=false t=32 alg=ft
# iter  start_epoch_ms  duration_ms  time_in_seconds
1  1780317138496  4492  4.06
2  1780317142991  4338  4.03
3  1780317147332  8399  8.07
4  1780317155739  10140  9.36
5  1780317165888  10342  9.51
6  1780317176236  10228  9.49
7  1780317186471  10617  9.77
8  1780317197096  10191  9.46
9  1780317207296  10147  9.36
10  1780317217452  10355  9.57
11  1780317227816  10611  9.87
12  1780317238435  10507  9.70
13  1780317248945  10416  9.67
14  1780317259367  10464  9.66
15  1780317269836  10583  9.72
