arm,repeat,job_id,label,algorithm,threads,iteration,start_offset,window_seconds,start_epoch_ms,start_since_arm_ms,wall_ms,time_seconds,mops_total,total_threads,avail_threads,overran_window,pid,exit_code
drm,2,2,J02_ep,ep,32,1,8.999,77.355,1788485473528,8999,18499,18.4,466.79,10,32,false,77885,0
drm,2,2,J02_ep,ep,32,2,8.999,77.355,1788485492528,28000,49051,48.91,175.64,5,32,false,78096,0
drm,2,2,J02_ep,ep,32,3,8.999,77.355,1788485542081,77552,22904,22.79,376.86,6,32,true,78405,0
drm,2,3,J03_ft,ft,32,1,13.099,54.571,1788485477627,13099,22608,20.71,19141.62,8,32,false,77921,0
drm,2,3,J03_ft,ft,32,2,13.099,54.571,1788485500737,36209,19000,16.83,23553.98,8,32,false,78133,0
drm,2,3,J03_ft,ft,32,3,13.099,54.571,1788485520239,55710,19701,17.04,23256.4,10,32,true,78290,0
drm,2,4,J04_cg,cg,32,1,13.773,47.096,1788485478301,13773,22357,20.51,6989.2,8,32,false,77962,0
drm,2,4,J04_cg,cg,32,2,13.773,47.096,1788485501160,36632,19752,17.6,8145.88,6,32,false,78166,0
drm,2,4,J04_cg,cg,32,3,13.773,47.096,1788485521413,56885,25111,23.18,6182.84,8,32,true,78324,0
drm,2,5,J05_cg,cg,32,1,19.698,87.101,1788485484226,19698,29313,27.25,5260.66,8,32,false,78028,0
drm,2,5,J05_cg,cg,32,2,19.698,87.101,1788485514041,49513,22652,20.5,6993.45,8,32,false,78253,0
drm,2,5,J05_cg,cg,32,3,19.698,87.101,1788485537194,72666,15591,14.19,10102.86,32,32,false,78360,0
drm,2,5,J05_cg,cg,32,4,19.698,87.101,1788485553287,88758,11684,10.83,13242.04,16,32,false,78441,0
drm,2,5,J05_cg,cg,32,5,19.698,87.101,1788485565472,100944,6126,5.42,26449.42,32,32,true,78483,0
drm,2,6,J06_ep,ep,32,1,21.026,44.272,1788485485554,21026,47748,47.61,180.42,6,32,true,78063,0
drm,3,1,J01_ft,ft,32,1,0.0,48.123,1788485581667,3,4629,4.28,92546.23,32,32,false,78543,0
drm,3,1,J01_ft,ft,32,2,0.0,48.123,1788485586797,5133,10083,9.28,42711.39,10,32,false,78576,0
drm,3,1,J01_ft,ft,32,3,0.0,48.123,1788485597382,15718,25409,23.4,16941.02,8,32,false,78711,0
drm,3,1,J01_ft,ft,32,4,0.0,48.123,1788485623292,41628,25005,21.59,18358.65,8,32,true,78923,0
drm,3,2,J02_ep,ep,32,1,8.999,77.355,1788485590663,8999,18953,18.86,455.48,10,32,false,78611,0
drm,3,2,J02_ep,ep,32,2,8.999,77.355,1788485610117,28453,54705,54.53,157.52,5,32,false,78820,0
drm,3,2,J02_ep,ep,32,3,8.999,77.355,1788485665323,83659,18245,18.2,471.96,8,32,true,79129,0
drm,3,3,J03_ft,ft,32,1,13.099,54.571,1788485594763,13099,22002,20.1,19720.51,8,32,false,78645,0
drm,3,3,J03_ft,ft,32,2,13.099,54.571,1788485617267,35603,22153,18.43,21512.01,8,32,false,78853,0
drm,3,3,J03_ft,ft,32,3,13.099,54.571,1788485639921,58257,20598,16.99,23333.29,16,32,true,79050,0
drm,3,4,J04_cg,cg,32,1,13.773,47.096,1788485595437,13773,23459,21.76,6586.3,6,32,false,78678,0
