# label=A1 dyn=true t=32 alg=cg
# iter  start_epoch_ms  duration_ms  time_in_seconds
1  1780322341904  4685  4.13
2  1780322347102  5673  5.09
3  1780322353289  10344  9.20
4  1780322364145  10672  9.30
5  1780322375333  11097  9.84
6  1780322386945  11332  10.07
7  1780322398794  10040  8.86
8  1780322409350  9461  8.15
9  1780322419327  9714  8.48
10  1780322429557  9687  8.44
11  1780322439760  9672  8.50
12  1780322449948  9670  8.49
13  1780322460134  9701  8.53
14  1780322470351  11913  10.70
15  1780322482780  9545  8.19
