# label=B1 dyn=false t=32 alg=cg
# iter  start_epoch_ms  duration_ms  time_in_seconds
1  1780322341906  5281  4.47
2  1780322347694  5499  4.99
3  1780322353710  13838  12.51
4  1780322368065  13165  11.99
5  1780322381747  13253  12.18
6  1780322395511  12127  10.94
7  1780322408148  14695  13.47
8  1780322423360  13585  12.33
9  1780322437455  13311  12.02
10  1780322451277  13502  12.29
11  1780322465295  13514  12.37
12  1780322479316  12600  11.41
13  1780322492434  12102  10.89
14  1780322505049  12517  11.33
15  1780322518079  12830  11.57
