# label=A1 dyn=true t=32 alg=ep
# iter  start_epoch_ms  duration_ms  time_in_seconds
1  1780322542117  2774  2.68
2  1780322545400  4469  4.41
3  1780322550381  3137  3.09
4  1780322554029  5806  5.73
5  1780322560346  6574  6.51
6  1780322567432  7472  7.41
7  1780322575414  8067  8.00
8  1780322583992  4232  4.16
9  1780322588736  6274  6.19
10  1780322595521  7754  7.67
11  1780322603787  4715  4.65
12  1780322609015  5881  5.83
13  1780322615408  5792  5.73
14  1780322621713  6404  6.32
15  1780322628630  6616  6.52
