# label=B1 dyn=false t=32 alg=ep
# iter  start_epoch_ms  duration_ms  time_in_seconds
1  1780322542119  1617  1.53
2  1780322544243  1567  1.52
3  1780322546317  1569  1.53
4  1780322548392  1584  1.54
5  1780322550482  1599  1.55
6  1780322552587  3027  2.93
7  1780322556122  3062  2.93
8  1780322559697  2973  2.85
9  1780322563183  2875  2.73
10  1780322566569  2832  2.71
11  1780322569914  2955  2.82
12  1780322573377  3109  3.01
13  1780322576999  2785  2.68
14  1780322580294  3021  2.87
15  1780322583825  2873  2.73
