# label=B2 dyn=false t=32 alg=ep
# iter  start_epoch_ms  duration_ms  time_in_seconds
1  1780322552114  2935  2.84
2  1780322555562  2855  2.77
3  1780322558927  3035  2.88
4  1780322562475  2674  2.60
5  1780322565660  3055  2.89
6  1780322569227  2955  2.81
7  1780322572694  2731  2.63
8  1780322575937  2999  2.77
9  1780322579449  2793  2.65
10  1780322582751  2803  2.69
11  1780322586064  2167  2.09
12  1780322588739  1587  1.54
13  1780322590832  1587  1.54
14  1780322592925  1740  1.69
15  1780322595171  1625  1.58
