# label=B2 dyn=false t=32 alg=ft
# iter  start_epoch_ms  duration_ms  time_in_seconds
1  1780322164526  9361  8.60
2  1780322174403  10447  9.56
3  1780322185365  9931  9.09
4  1780322195804  10292  9.46
5  1780322206605  9791  8.98
6  1780322216911  10157  9.34
7  1780322227578  10312  9.34
8  1780322238403  9943  9.05
9  1780322248860  9443  8.63
10  1780322258815  9890  8.94
11  1780322269221  9952  9.06
12  1780322279688  10054  9.16
13  1780322290255  9140  8.35
14  1780322299904  5951  5.24
15  1780322306362  4733  4.37
