# label=A2 dyn=true t=32 alg=ep
# iter  start_epoch_ms  duration_ms  time_in_seconds
1  1780322552113  5778  5.68
2  1780322558402  5821  5.77
3  1780322564735  7142  7.07
4  1780322572388  5573  5.51
5  1780322578473  7875  7.80
6  1780322586860  6673  6.59
7  1780322594045  3428  3.37
8  1780322597986  7688  7.64
9  1780322606187  7040  6.96
10  1780322613740  4792  4.73
11  1780322619045  7172  7.11
12  1780322626730  4615  4.55
13  1780322631858  5748  5.70
14  1780322638118  5419  5.36
15  1780322644048  4413  4.36
