# label=A2 dyn=true t=32 alg=cg
# iter  start_epoch_ms  duration_ms  time_in_seconds
1  1780322351914  10208  9.08
2  1780322362638  9265  8.13
3  1780322372419  9824  8.54
4  1780322382759  10129  8.93
5  1780322393404  9428  8.25
6  1780322403348  11503  10.12
7  1780322415368  10403  9.19
8  1780322426288  10014  8.79
9  1780322436819  10508  9.18
10  1780322447843  10035  8.77
11  1780322458394  9555  8.33
12  1780322468466  9780  8.46
13  1780322478763  11232  10.03
14  1780322490511  6198  4.90
15  1780322497222  4447  3.93
