Linux 6.4.0-150600.23.25-default (cm4r13c02s06) 	06/01/26 	_x86_64_	(224 CPU)

15:55:53     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:55:58     all   22.10    0.00    0.41    0.00    0.00    0.00    0.00    0.00    0.00   77.49
15:55:58       0    0.00    0.00    0.20    0.00    0.00    1.02    0.00    0.00    0.00   98.78
15:55:58       1   77.40    0.00    1.40    0.00    0.00    0.00    0.00    0.00    0.00   21.20
15:55:58       2   77.05    0.00    1.40    0.00    0.00    0.00    0.00    0.00    0.00   21.56
15:55:58       3   76.95    0.00    1.60    0.00    0.00    0.00    0.00    0.00    0.00   21.44
15:55:58       4   77.60    0.00    0.80    0.00    0.00    0.00    0.00    0.00    0.00   21.60
15:55:58       5   77.60    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   21.40
15:55:58       6   77.20    0.00    1.20    0.00    0.00    0.00    0.00    0.00    0.00   21.60
15:55:58       7   77.00    0.00    1.20    0.20    0.00    0.00    0.00    0.00    0.00   21.60
15:55:58       8   77.09    0.00    1.39    0.00    0.00    0.00    0.00    0.00    0.00   21.51
15:55:58       9   77.35    0.00    1.20    0.00    0.00    0.00    0.00    0.00    0.00   21.44
15:55:58      10   77.40    0.00    1.20    0.00    0.00    0.00    0.00    0.00    0.00   21.40
15:55:58      11   76.95    0.00    1.40    0.00    0.00    0.00    0.00    0.00    0.00   21.64
15:55:58      12   76.45    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   21.56
15:55:58      13   76.95    0.00    1.60    0.00    0.00    0.00    0.00    0.00    0.00   21.44
15:55:58      14   76.80    0.00    1.60    0.00    0.00    0.00    0.00    0.00    0.00   21.60
15:55:58      15   77.00    0.00    1.40    0.00    0.00    0.00    0.00    0.00    0.00   21.60
15:55:58      16   77.25    0.00    1.20    0.00    0.00    0.00    0.00    0.00    0.00   21.56
15:55:58      17   76.80    0.00    1.80    0.00    0.00    0.00    0.00    0.00    0.00   21.40
15:55:58      18   77.20    0.00    1.40    0.00    0.00    0.00    0.00    0.00    0.00   21.40
15:55:58      19   77.05    0.00    1.40    0.00    0.00    0.00    0.00    0.00    0.00   21.56
15:55:58      20   76.60    0.00    1.80    0.00    0.00    0.00    0.00    0.00    0.00   21.60
15:55:58      21   77.20    0.00    1.40    0.00    0.00    0.00    0.00    0.00    0.00   21.40
15:55:58      22   76.85    0.00    1.60    0.00    0.00    0.00    0.00    0.00    0.00   21.56
15:55:58      23   77.05    0.00    1.40    0.00    0.00    0.00    0.00    0.00    0.00   21.56
15:55:58      24   77.40    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   21.60
15:55:58      25   77.35    0.00    1.20    0.00    0.00    0.00    0.00    0.00    0.00   21.44
15:55:58      26   77.20    0.00    1.40    0.00    0.00    0.00    0.00    0.00    0.00   21.40
15:55:58      27   76.95    0.00    1.40    0.00    0.00    0.00    0.00    0.00    0.00   21.64
15:55:58      28   77.35    0.00    1.20    0.00    0.00    0.00    0.00    0.00    0.00   21.44
15:55:58      29   76.80    0.00    1.60    0.00    0.00    0.00    0.00    0.00    0.00   21.60
15:55:58      30   77.29    0.00    1.20    0.00    0.00    0.00    0.00    0.00    0.00   21.51
15:55:58      31   77.25    0.00    1.20    0.00    0.00    0.00    0.00    0.00    0.00   21.56
15:55:58      32   77.80    0.00    1.20    0.00    0.00    0.00    0.00    0.00    0.00   21.00
15:55:58      33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
15:55:58      34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
15:55:58      35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
15:55:58      36    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
15:55:58      37    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
15:55:58      38    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
15:55:58      39    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
15:55:58      40    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
15:55:58      41    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
15:55:58      42    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
15:55:58      43    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
15:55:58      44    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
15:55:58      45    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
