# label=B2 dyn=false t=32 alg=cg
# iter  start_epoch_ms  duration_ms  time_in_seconds
1  1780322351917  13252  11.95
2  1780322365678  13212  11.94
3  1780322379405  13342  12.13
4  1780322393263  12292  11.05
5  1780322406073  13750  12.50
6  1780322420332  13278  12.11
7  1780322434122  13059  11.91
8  1780322447692  12922  11.68
9  1780322461123  13736  12.59
10  1780322475369  13813  12.55
11  1780322489700  11797  10.59
12  1780322502006  12747  11.48
13  1780322515265  13364  12.18
14  1780322529143  6030  4.74
15  1780322535679  4894  4.38
