run_name,source,benchmark,threads,dynamic,program_id,duration_ms,mops_total,init_ms,mops_per_thread,total_threads,avail_threads,operation_type,pid,mode,rep
run_8,dual-exclusive,EP,16,False,1,3520,2439.5,,152.47,16,16,Random numbers generated,182971,dynamic=false,1
run_8,dual-exclusive,EP,32,False,1,1770,4864.88,,152.03,32,32,Random numbers generated,186076,dynamic=false,1
run_8,dual-exclusive,EP,2,True,1,28180,304.8,,152.4,2,2,Random numbers generated,175500,dynamic=true,1
run_8,dual-exclusive,EP,4,True,1,14030,612.45,,153.11,4,4,Random numbers generated,178446,dynamic=true,1
run_8,dual-exclusive,EP,8,True,1,7020,1223.61,,152.95,8,8,Random numbers generated,180636,dynamic=true,1
run_8,dual-exclusive,EP,16,True,1,3520,2443.77,,152.74,16,16,Random numbers generated,182972,dynamic=true,1
run_8,dual-exclusive,EP,32,True,1,1770,4856.01,,151.75,32,32,Random numbers generated,186075,dynamic=true,1
run_9,dual-exclusive,EP,2,False,1,28020,306.51,,153.26,2,2,Random numbers generated,175862,dynamic=false,1
run_9,dual-exclusive,EP,4,False,1,14010,613.04,,153.26,4,4,Random numbers generated,178602,dynamic=false,1
run_9,dual-exclusive,EP,8,False,1,7020,1223.98,,153.0,8,8,Random numbers generated,180929,dynamic=false,1
run_9,dual-exclusive,EP,16,False,1,3530,2436.37,,152.27,16,16,Random numbers generated,183301,dynamic=false,1
run_9,dual-exclusive,EP,32,False,1,1770,4861.93,,151.94,32,32,Random numbers generated,186365,dynamic=false,1
run_9,dual-exclusive,EP,2,True,1,28040,306.36,,153.18,2,2,Random numbers generated,175863,dynamic=true,1
run_9,dual-exclusive,EP,4,True,1,14000,613.35,,153.34,4,4,Random numbers generated,178601,dynamic=true,1
run_9,dual-exclusive,EP,8,True,1,7030,1222.42,,152.8,8,8,Random numbers generated,180928,dynamic=true,1
run_9,dual-exclusive,EP,16,True,1,3530,2434.83,,152.18,16,16,Random numbers generated,183300,dynamic=true,1
run_9,dual-exclusive,EP,32,True,1,1810,4740.21,,148.13,32,32,Random numbers generated,186364,dynamic=true,1
