run_name,source,benchmark,threads,dynamic,program_id,duration_ms,mops_total,init_ms,mops_per_thread,total_threads,avail_threads,operation_type,pid,mode,rep
run_2,dual-exclusive,CG,32,False,1,3760,38127.01,522,1191.47,32,32,floating point,183948,dynamic=false,1
run_2,dual-exclusive,CG,2,True,1,45860,3125.92,5929,1562.96,2,2,floating point,164764,dynamic=true,1
run_2,dual-exclusive,CG,4,True,1,20680,6931.24,3013,1732.81,4,4,floating point,176770,dynamic=true,1
run_2,dual-exclusive,CG,8,True,1,10860,13199.4,1574,1649.93,8,8,floating point,179331,dynamic=true,1
run_2,dual-exclusive,CG,16,True,1,6050,23704.83,860,1481.55,16,16,floating point,181571,dynamic=true,1
run_2,dual-exclusive,CG,32,True,1,3500,40899.35,519,1278.1,32,32,floating point,183947,dynamic=true,1
run_3,dual-exclusive,CG,2,False,1,44600,3214.05,6091,1607.02,2,2,floating point,165141,dynamic=false,1
run_3,dual-exclusive,CG,4,False,1,25550,5610.68,3149,1402.67,4,4,floating point,176925,dynamic=false,1
run_3,dual-exclusive,CG,8,False,1,13190,10867.72,1624,1358.47,8,8,floating point,179477,dynamic=false,1
run_3,dual-exclusive,CG,16,False,1,6310,22706.32,864,1419.14,16,16,floating point,181758,dynamic=false,1
run_3,dual-exclusive,CG,32,False,1,4250,33768.26,527,1055.26,32,32,floating point,184370,dynamic=false,1
run_3,dual-exclusive,CG,2,True,1,42090,3405.55,5884,1702.77,2,2,floating point,165142,dynamic=true,1
run_3,dual-exclusive,CG,4,True,1,21020,6818.55,3014,1704.64,4,4,floating point,176924,dynamic=true,1
run_3,dual-exclusive,CG,8,True,1,11070,12945.49,1578,1618.19,8,8,floating point,179478,dynamic=true,1
run_3,dual-exclusive,CG,16,True,1,6170,23230.48,861,1451.9,16,16,floating point,181759,dynamic=true,1
run_3,dual-exclusive,CG,32,True,1,3500,40922.79,515,1278.84,32,32,floating point,184369,dynamic=true,1
run_4,dual-exclusive,CG,2,False,1,43650,3283.84,6086,1641.92,2,2,floating point,165587,dynamic=false,1
run_4,dual-exclusive,CG,4,False,1,23090,6208.4,3118,1552.1,4,4,floating point,177221,dynamic=false,1
run_4,dual-exclusive,CG,8,False,1,12040,11908.34,1608,1488.54,8,8,floating point,179783,dynamic=false,1
run_4,dual-exclusive,CG,16,False,1,6900,20782.67,871,1298.92,16,16,floating point,181955,dynamic=false,1
run_4,dual-exclusive,CG,32,False,1,3890,36847.29,524,1151.48,32,32,floating point,184660,dynamic=false,1
run_4,dual-exclusive,CG,2,True,1,46270,3098.23,5944,1549.11,2,2,floating point,165586,dynamic=true,1
run_4,dual-exclusive,CG,4,True,1,20910,6856.06,3011,1714.02,4,4,floating point,177220,dynamic=true,1
run_4,dual-exclusive,CG,8,True,1,10980,13058.13,1571,1632.27,8,8,floating point,179782,dynamic=true,1
run_4,dual-exclusive,CG,16,True,1,5700,25150.4,852,1571.9,16,16,floating point,181954,dynamic=true,1
run_4,dual-exclusive,CG,32,True,1,3750,38182.67,522,1193.21,32,32,floating point,184659,dynamic=true,1
run_5,dual-exclusive,CG,2,False,1,45110,3177.44,6099,1588.72,2,2,floating point,174297,dynamic=false,1
run_5,dual-exclusive,CG,4,False,1,23560,6085.35,3116,1521.34,4,4,floating point,177558,dynamic=false,1
run_5,dual-exclusive,CG,8,False,1,11490,12473.86,1596,1559.23,8,8,floating point,179937,dynamic=false,1
run_5,dual-exclusive,CG,16,False,1,6700,21400.54,868,1337.53,16,16,floating point,182274,dynamic=false,1
run_5,dual-exclusive,CG,32,False,1,3770,37981.68,516,1186.93,32,32,floating point,184938,dynamic=false,1
