# label=A1 dyn=true t=32 alg=ep
# iter  start_epoch_ms  duration_ms  time_in_seconds
1  1788485495120  3648  3.62
2  1788485499280  12341  12.26
3  1788485512132  12795  12.70
4  1788485525437  13918  13.80
5  1788485539866  6339  6.28
6  1788485546715  12698  12.63
7  1788485559924  11590  11.54
8  1788485572025  18114  17.95
9  1788485590650  13620  13.55
10  1788485604781  12493  12.41
11  1788485617785  12576  12.52
12  1788485630872  22350  22.30
13  1788485653734  22897  22.82
14  1788485677142  22575  22.50
15  1788485700227  22352  22.28
