# label=A2 dyn=true t=32 alg=ft
# iter  start_epoch_ms  duration_ms  time_in_seconds
1  1788485119730  10935  9.98
2  1788485131177  12153  11.12
3  1788485143842  12241  11.19
4  1788485156595  12281  11.23
5  1788485169388  12083  10.98
6  1788485181983  12178  11.15
7  1788485194673  12272  11.28
8  1788485207456  11974  11.07
9  1788485219943  11940  10.90
10  1788485232395  12023  10.95
11  1788485244929  12013  10.97
12  1788485257453  12112  11.01
13  1788485270078  12413  11.38
14  1788485283003  10064  8.93
15  1788485293578  6639  6.00
