# label=A2 dyn=true t=32 alg=cg
# iter  start_epoch_ms  duration_ms  time_in_seconds
1  1788485311728  9423  8.17
2  1788485321663  9512  8.18
3  1788485331683  9645  8.39
4  1788485341841  8993  7.78
5  1788485351346  8411  7.05
6  1788485360268  8823  7.48
7  1788485369603  8283  7.08
8  1788485378398  8929  8.42
9  1788485387839  8790  7.56
10  1788485397142  8615  7.38
11  1788485406269  8189  6.92
12  1788485414970  8716  8.23
13  1788485424199  9029  7.74
14  1788485433739  5464  4.31
15  1788485439715  4130  3.65
