# label=B1 dyn=false t=32 alg=ft
# iter  start_epoch_ms  duration_ms  time_in_seconds
1  1788485109733  4727  4.27
2  1788485114971  4605  4.24
3  1788485120084  10856  10.00
4  1788485131453  10352  9.57
5  1788485142312  11107  10.31
6  1788485153932  10479  9.62
7  1788485164925  10946  10.13
8  1788485176384  10349  9.53
9  1788485187246  10293  9.50
10  1788485198052  10892  10.11
11  1788485209457  10366  9.56
12  1788485220335  10321  9.57
13  1788485231169  10415  9.61
14  1788485242096  10232  9.39
15  1788485252840  10411  9.59
