# label=B2 dyn=false t=32 alg=cg
# iter  start_epoch_ms  duration_ms  time_in_seconds
1  1788485311725  11123  10.00
2  1788485323360  13939  12.59
3  1788485337806  13081  11.91
4  1788485351399  11904  10.63
5  1788485363813  12580  11.39
6  1788485376903  14042  13.22
7  1788485391459  13754  12.51
8  1788485405726  13345  12.09
9  1788485419583  13682  12.52
10  1788485433777  12329  11.24
11  1788485446618  12543  11.35
12  1788485459673  12233  11.14
13  1788485472418  11182  10.00
14  1788485484112  4324  3.84
15  1788485488943  4698  4.21
