# label=A1 dyn=true t=32 alg=ft
# iter  start_epoch_ms  duration_ms  time_in_seconds
1  1788485109733  4696  4.28
2  1788485114936  8979  8.26
3  1788485124427  12098  10.99
4  1788485137038  12389  11.40
5  1788485149939  12262  11.25
6  1788485162713  12129  11.14
7  1788485175354  12090  11.08
8  1788485187956  12218  11.16
9  1788485200686  12121  11.00
10  1788485213320  11975  10.96
11  1788485225807  12012  11.00
12  1788485238332  12006  11.02
13  1788485250851  11948  10.85
14  1788485263311  12039  10.99
15  1788485275862  12280  11.29
