# label=A2 dyn=true t=32 alg=ep
# iter  start_epoch_ms  duration_ms  time_in_seconds
1  1788485500127  19656  19.57
2  1788485520293  13678  13.58
3  1788485534482  12011  11.93
4  1788485547003  20403  20.32
5  1788485567916  5192  5.13
6  1788485573617  22047  21.98
7  1788485596175  12897  12.81
8  1788485609584  20277  20.20
9  1788485630372  18484  18.43
10  1788485649367  10473  10.40
11  1788485660351  12075  11.99
12  1788485672938  10895  10.82
13  1788485684344  12063  11.98
14  1788485696919  11398  11.33
15  1788485708829  11956  11.89
