# label=B1 dyn=false t=32 alg=cg
# iter  start_epoch_ms  duration_ms  time_in_seconds
1  1788485301718  4433  3.93
2  1788485306658  4303  3.81
3  1788485311468  11649  10.34
4  1788485323625  13549  12.30
5  1788485337687  13386  12.13
6  1788485351580  12136  10.94
7  1788485364224  12604  11.40
8  1788485377336  13748  12.50
9  1788485391593  13851  12.67
10  1788485405951  13219  12.04
11  1788485419677  13597  12.44
12  1788485433782  12353  11.20
13  1788485446642  12530  11.28
14  1788485459679  12326  11.21
15  1788485472512  11431  10.31
