# label=B1 dyn=false t=32 alg=ep
# iter  start_epoch_ms  duration_ms  time_in_seconds
1  1788485495120  3652  3.62
2  1788485499278  6716  6.64
3  1788485506502  6925  6.82
4  1788485513937  6991  6.89
5  1788485521435  6971  6.86
6  1788485528915  6888  6.79
7  1788485536312  6982  6.88
8  1788485543805  7155  7.08
9  1788485551471  7072  6.92
10  1788485559054  7010  6.86
11  1788485566573  6922  6.81
12  1788485574007  7060  6.95
13  1788485581576  6826  6.73
14  1788485588912  7782  7.65
15  1788485597203  6855  6.79
