Linux 6.4.0-150600.23.25-default (cm4r13c02s01) 	05/18/26 	_x86_64_	(224 CPU)

03:45:19      UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:45:24        0        17         -    0.00    0.39    0.00    0.00    0.39    10  rcu_preempt
03:45:24        0         -        17    0.00    0.19    0.00    0.00    0.19    10  |__rcu_preempt
03:45:24        0        24         -    0.00    0.19    0.00    0.00    0.19     1  ksoftirqd/1
03:45:24        0         -        24    0.00    0.19    0.00    0.00    0.19     1  |__ksoftirqd/1
03:45:24        0       149         -    0.00    0.19    0.00    0.00    0.19    22  migration/22
03:45:24        0         -       149    0.00    0.19    0.00    0.00    0.19    22  |__migration/22
03:45:24        0       301         -    0.00    0.19    0.00    0.19    0.19    47  ksoftirqd/47
03:45:24        0         -       301    0.00    0.19    0.00    0.19    0.19    47  |__ksoftirqd/47
03:45:24        0         -       806    0.00    0.19    0.00    0.00    0.19   131  |__ksoftirqd/131
03:45:24        0      1413         -    0.00    0.19    0.00    0.00    0.19    69  khugepaged
03:45:24        0         -      1413    0.00    0.19    0.00    0.00    0.19    69  |__khugepaged
03:45:24        0         -      3078    0.00    0.19    0.00    0.00    0.19    25  |__kworker/u448:3-ipoib_wq
03:45:24      499      3624         -    0.19    0.00    0.00    0.00    0.19    97  dbus-daemon
03:45:24      499         -      3624    0.19    0.00    0.00    0.00    0.19    97  |__dbus-daemon
03:45:24        0      3730         -    0.19    0.00    0.00    0.00    0.19   110  systemd-logind
03:45:24        0         -      3730    0.19    0.00    0.00    0.00    0.19   110  |__systemd-logind
03:45:24        0      4879         -    0.19    0.00    0.00    0.00    0.19   198  kworker/u448:0-ipoib_wq
03:45:24        0         -      4879    0.19    0.00    0.00    0.00    0.19   198  |__kworker/u448:0-ipoib_wq
03:45:24    4432689      5323         -    0.00    0.39    0.00    0.00    0.39   173  mpstat
03:45:24    4432689         -      5323    0.00    0.39    0.00    0.00    0.39   173  |__mpstat
03:45:24    4432689      5324         -    0.58    2.52    0.00    0.00    3.10    63  pidstat
03:45:24    4432689         -      5324    0.58    2.52    0.00    0.00    3.10    63  |__pidstat
03:45:24        0      5334         -    0.19    0.19    0.00    0.00    0.39   142  slurmstepd
03:45:24        0         -      5334    0.19    0.19    0.00    0.00    0.39   142  |__slurmstepd
03:45:24    4432689      5341         -    0.19    0.39    0.00    0.00    0.58    58  test_all.sh
03:45:24    4432689         -      5341    0.19    0.39    0.00    0.00    0.58    58  |__test_all.sh
03:45:24    4432689      5548         -    0.00    0.19    0.00    0.00    0.19     0  dynamic-resourc
03:45:24    4432689         -      5548    0.00    0.19    0.00    0.00    0.19     0  |__dynamic-resourc
03:45:24    4432689      5561         -    0.00    0.19    0.00    0.00    0.19     2  test-one.sh
03:45:24    4432689         -      5561    0.00    0.19    0.00    0.00    0.19     2  |__test-one.sh
03:45:24    4432689      5562         -    0.00    0.19    0.00    0.00    0.19    57  test-one.sh
03:45:24    4432689         -      5562    0.00    0.19    0.00    0.00    0.19    57  |__test-one.sh
03:45:24    4432689      5563         -    0.00    0.19    0.00    0.00    0.19    56  test-one.sh
03:45:24    4432689         -      5563    0.00    0.19    0.00    0.00    0.19    56  |__test-one.sh
03:45:24    4432689      5588         -   40.31   20.74    0.00   20.54   61.05     2  ft.C.x
03:45:24    4432689         -      5588   32.75   10.47    0.00   20.54   43.22     2  |__ft.C.x
03:45:24    4432689         -      5596    7.56   10.27    0.00   20.93   17.83     1  |__openmp_worker
03:45:24    4432689      5589         -   52.52   20.16    0.00   23.84   72.67     1  ft.C.x
03:45:24    4432689         -      5589   32.75   10.27    0.00   23.84   43.02     1  |__ft.C.x
03:45:24    4432689         -      5594   19.57    9.69    0.00   18.60   29.26     1  |__openmp_worker
03:45:24    4432689      5590         -   47.09   21.32    0.00   32.75   68.41    57  ft.C.x
03:45:24    4432689         -      5590   23.26   10.85    0.00   32.75   34.11    57  |__ft.C.x
03:45:24    4432689         -      5593   23.64   10.47    0.00   31.59   34.11    57  |__openmp_worker
03:45:24    4432689      5591         -   45.16   20.16    0.00   34.50   65.31    56  ft.C.x
03:45:24    4432689         -      5591   22.48    9.88    0.00   34.50   32.36    56  |__ft.C.x
03:45:24    4432689         -      5592   22.67   10.08    0.00   33.53   32.75    56  |__openmp_worker
03:45:24        0         -     10192    0.19    0.00    0.00    0.00    0.19    99  |__sssd_nss
03:45:24        0     14237         -    2.13    2.33    0.00    0.00    4.46   172  mmfsd
03:45:24        0         -     15700    0.19    0.00    0.00    0.00    0.19   211  |__mmfsd
03:45:24        0         -     15707    0.19    0.00    0.00    0.00    0.19   218  |__mmfsd
03:45:24        0         -     15725    0.19    0.00    0.00    0.00    0.19    73  |__mmfsd
03:45:24        0         -     15766    0.39    0.00    0.00    0.00    0.39   122  |__mmfsd
03:45:24        0         -     15952    0.19    0.00    0.00    0.00    0.19     5  |__mmfsd
03:45:24        0         -     15953    0.00    0.58    0.00    0.00    0.58   175  |__mmfsd
03:45:24        0         -     15960    0.00    0.39    0.00    0.19    0.39    49  |__mmfsd
03:45:24        0         -     15975    0.00    0.19    0.00    0.00    0.19    23  |__mmfsd
03:45:24        0         -     16013    0.19    0.00    0.00    0.00    0.19   103  |__mmfsd
03:45:24        0         -    115123    0.58    0.19    0.00    0.00    0.78   104  |__mmfsd
03:45:24        0         -    115181    0.19    0.00    0.00    0.00    0.19   184  |__mmfsd
03:45:24        0         -    115514    0.19    0.00    0.00    0.00    0.19   106  |__mmfsd
03:45:24        0         -    115996    0.19    0.00    0.00    0.00    0.19   197  |__mmfsd
03:45:24        0         -    116012    0.19    0.00    0.00    0.00    0.19   104  |__mmfsd
03:45:24        0         -    116015    0.00    0.19    0.00    0.00    0.19    22  |__mmfsd
03:45:24        0         -    204837    0.19    0.00    0.00    0.00    0.19   196  |__mmfsd
03:45:24        0         -    204918    0.19    0.00    0.00    0.00    0.19   172  |__mmfsd
03:45:24        0         -    119541    0.19    0.00    0.00    0.00    0.19    98  |__mmfsd
03:45:24        0         -     71617    0.00    0.19    0.00    0.00    0.19    32  |__mmfsd
03:45:24        0         -     89683    0.00    0.19    0.00    0.00    0.19   146  |__kworker/146:0-events
03:45:24        0    118771         -    0.00    0.19    0.00    0.00    0.19   131  kworker/131:0-events
03:45:24        0         -    126904    0.00    0.19    0.00    0.00    0.19    57  |__kworker/57:0-events
03:45:24        0         -    189767    0.00    0.19    0.00    0.00    0.19   151  |__kworker/151:1-events
03:45:24        0         -    205180    0.00    0.19    0.00    0.19    0.19     0  |__kworker/0:0-qat_misc_wq
03:45:24        0         -    216906    0.00    0.19    0.00    0.00    0.19   147  |__kworker/u449:2-flush-259:0

03:45:24      UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:45:29        0        17         -    0.00    0.20    0.00    0.20    0.20    10  rcu_preempt
03:45:29        0         -        17    0.00    0.20    0.00    0.20    0.20    10  |__rcu_preempt
03:45:29        0       367         -    0.00    0.20    0.00    0.00    0.20    58  migration/58
03:45:29        0         -       367    0.00    0.20    0.00    0.00    0.20    58  |__migration/58
03:45:29        0         -      1071    0.00    0.20    0.00    0.00    0.20   175  |__ksoftirqd/175
03:45:29        0      3078         -    0.00    0.20    0.00    0.00    0.20    25  kworker/u448:3-ipoib_wq
03:45:29    4432689      5323         -    0.20    0.20    0.00    0.00    0.40   173  mpstat
03:45:29    4432689         -      5323    0.20    0.20    0.00    0.00    0.40   173  |__mpstat
03:45:29    4432689      5324         -    1.00    1.60    0.00    0.00    2.60    63  pidstat
03:45:29    4432689         -      5324    1.00    1.60    0.00    0.00    2.60    63  |__pidstat
03:45:29    4432689      5588         -  100.00    0.00    0.00    0.20  100.00     2  ft.C.x
03:45:29    4432689         -      5588   99.80    0.00    0.00    0.20   99.80     2  |__ft.C.x
03:45:29    4432689      5589         -   99.60    0.20    0.00    0.00   99.80     1  ft.C.x
