Linux 6.4.0-150600.23.25-default (cm4r15c03s05) 	04/12/26 	_x86_64_	(224 CPU)

21:26:53      UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
21:27:03        0         -     13704    0.20    0.00    0.00    0.00    0.20   135  |__mmfsd
21:27:03        0         -    220545    0.20    0.00    0.00    0.00    0.20   174  |__mmfsd
21:27:03        0         -    153590    0.00    0.20    0.00    0.00    0.20   121  |__kworker/121:0-events
21:27:03        0    192292         -    0.00    0.20    0.00    0.00    0.20    18  kworker/u448:6-ipoib_wq
21:27:03        0         -    192292    0.00    0.20    0.00    0.00    0.20    18  |__kworker/u448:6-ipoib_wq
21:27:03    4432689    192635         -    0.00    0.20    0.00    0.00    0.20   184  mpstat
21:27:03    4432689         -    192635    0.00    0.20    0.00    0.00    0.20   184  |__mpstat
21:27:03    4432689    192636         -    0.60    1.80    0.00    0.00    2.40   121  pidstat
21:27:03    4432689         -    192636    0.60    1.80    0.00    0.00    2.40   121  |__pidstat
21:27:03    4432689    192890         -   99.80    0.00    0.00   50.00   99.80    56  ft.C.x
21:27:03    4432689         -    192890   49.80    0.00    0.00   50.00   49.80    56  |__ft.C.x
21:27:03    4432689         -    192898   50.00    0.00    0.00   49.80   50.00    72  |__openmp_worker
21:27:03    4432689    192891         -   99.60    0.20    0.00   50.00   99.80    56  ft.C.x
21:27:03    4432689         -    192891   49.80    0.00    0.00   50.00   49.80    56  |__ft.C.x
21:27:03    4432689         -    192899   49.60    0.20    0.00   50.00   49.80    72  |__openmp_worker
21:27:03    4432689    192892         -  100.00    0.00    0.00    0.00  100.00     3  ft.C.x
21:27:03    4432689         -    192892   99.80    0.00    0.00    0.00   99.80     3  |__ft.C.x
21:27:03    4432689    192893         -   99.80    0.00    0.00    0.00   99.80     1  ft.C.x
21:27:03    4432689         -    192893   99.80    0.00    0.00    0.00   99.80     1  |__ft.C.x
21:27:03        0    208882         -    0.00    0.20    0.00    0.00    0.20   132  kworker/132:1-events

21:27:03      UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
21:27:08        0        17         -    0.00    0.20    0.00    0.20    0.20    12  rcu_preempt
21:27:08        0     10113         -    1.00    0.20    0.00    0.00    1.20   203  mmsysmon.py
21:27:08        0         -     14111    0.80    0.40    0.00    0.00    1.20   114  |__ET_gpfs
21:27:08        0         -     14113    0.40    0.00    0.00    0.00    0.40   140  |__ET_filesystem
21:27:08        0         -     14114    0.00    0.20    0.00    0.00    0.20   142  |__ET_network
21:27:08        0     11966         -    1.80    0.40    0.00    0.00    2.20   172  mmfsd
21:27:08        0         -     13642    0.00    0.20    0.00    0.00    0.20   199  |__mmfsd
21:27:08        0         -    220545    1.40    0.20    0.00    0.00    1.60     7  |__mmfsd
21:27:08        0    145868         -    0.00    0.20    0.00    0.00    0.20   149  kworker/u449:4-events_unbound
21:27:08        0         -    169715    0.00    0.20    0.00    0.00    0.20     3  |__kworker/3:0-events
21:27:08        0         -    178868    0.00    0.20    0.00    0.00    0.20   215  |__kworker/215:1-events
21:27:08        0         -    183622    0.00    0.20    0.00    0.00    0.20    56  |__kworker/56:1-qat_misc_wq
