Linux 6.4.0-150600.23.25-default (cm4r15c01s07) 	06/01/26 	_x86_64_	(224 CPU)

13:44:38      UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
13:44:43    4432689         -     36867   81.17    0.97    0.00    0.00   82.14    12  |__openmp_worker
13:44:43    4432689     36813         - 2590.68   36.31    0.00    0.00 2626.99    87  ft.C.x
13:44:43    4432689         -     36813   81.55    1.36    0.00    0.00   82.91    87  |__ft.C.x
13:44:43    4432689         -     36817   80.97    0.97    0.00    0.00   81.94    58  |__openmp_worker
13:44:43    4432689         -     36820   80.97    0.97    0.00    0.00   81.94    59  |__openmp_worker
13:44:43    4432689         -     36822   80.78    1.17    0.00    0.00   81.94    60  |__openmp_worker
13:44:43    4432689         -     36825   80.97    0.97    0.00    0.00   81.94    61  |__openmp_worker
13:44:43    4432689         -     36828   80.97    0.97    0.00    0.00   81.94    64  |__openmp_worker
13:44:43    4432689         -     36831   80.97    0.97    0.00    0.00   81.94    65  |__openmp_worker
13:44:43    4432689         -     36835   80.97    0.97    0.00    0.00   81.94    67  |__openmp_worker
13:44:43    4432689         -     36836   80.97    0.97    0.00    0.00   81.94    68  |__openmp_worker
13:44:43    4432689         -     36837   80.78    1.17    0.00    0.00   81.94    69  |__openmp_worker
13:44:43    4432689         -     36841   80.97    0.97    0.00    0.00   81.94    70  |__openmp_worker
13:44:43    4432689         -     36843   80.97    0.97    0.00    0.00   81.94    71  |__openmp_worker
13:44:43    4432689         -     36844   80.78    1.17    0.00    0.00   81.94    72  |__openmp_worker
13:44:43    4432689         -     36845   80.78    1.17    0.00    0.00   81.94    73  |__openmp_worker
13:44:43    4432689         -     36849   80.97    0.97    0.00    0.00   81.94    63  |__openmp_worker
13:44:43    4432689         -     36851   80.97    0.97    0.00    0.00   81.94    66  |__openmp_worker
13:44:43    4432689         -     36853   80.97    0.97    0.00    0.00   81.94    74  |__openmp_worker
13:44:43    4432689         -     36855   80.97    0.97    0.00    0.00   81.94    75  |__openmp_worker
13:44:43    4432689         -     36857   80.78    1.17    0.00    0.00   81.94    76  |__openmp_worker
13:44:43    4432689         -     36861   80.78    1.17    0.00    0.00   81.94    77  |__openmp_worker
13:44:43    4432689         -     36862   81.17    0.78    0.00    0.00   81.94    78  |__openmp_worker
13:44:43    4432689         -     36864   80.97    0.97    0.00    0.00   81.94    79  |__openmp_worker
13:44:43    4432689         -     36866   80.97    0.97    0.00    0.00   81.94    80  |__openmp_worker
13:44:43    4432689         -     36868   80.78    0.97    0.00    0.00   81.75    81  |__openmp_worker
13:44:43    4432689         -     36869   80.78    1.17    0.00    0.00   81.94    82  |__openmp_worker
13:44:43    4432689         -     36870   80.78    0.97    0.00    0.00   81.75    83  |__openmp_worker
13:44:43    4432689         -     36871   80.97    0.97    0.00    0.00   81.94    84  |__openmp_worker
13:44:43    4432689         -     36872   80.97    0.97    0.00    0.00   81.94    85  |__openmp_worker
13:44:43    4432689         -     36873   80.97    0.97    0.00    0.00   81.94    86  |__openmp_worker
13:44:43    4432689         -     36874   81.17    0.78    0.00    0.00   81.94    56  |__openmp_worker
13:44:43    4432689         -     36875   81.17    0.78    0.00    0.00   81.94    62  |__openmp_worker
13:44:43    4432689         -     36876   80.78    0.97    0.00    0.00   81.75    57  |__openmp_worker
13:44:43        0     70426         -    0.00    0.19    0.00    0.00    0.19    64  kworker/64:0-events
13:44:43        0         -     70426    0.00    0.19    0.00    0.00    0.19    64  |__kworker/64:0-events
13:44:43        0         -     89329    0.00    0.19    0.00    0.00    0.19    78  |__kworker/78:2-events
13:44:43        0         -     90854    0.00    0.19    0.00    0.00    0.19   148  |__kworker/148:2-events
13:44:43        0    102118         -    0.00    0.19    0.00    0.00    0.19    67  kworker/67:1-events
13:44:43        0    108894         -    0.00    0.19    0.00    0.00    0.19    74  kworker/74:2-events
13:44:43        0         -    109781    0.00    0.19    0.00    0.00    0.19   171  |__kworker/171:1-events
