# label=B1 dyn=false t=32 alg=ep
# iter  start_epoch_ms  duration_ms  time_in_seconds
1  1780314662201  1882  1.81
2  1780314664087  1795  1.77
3  1780314665886  1792  1.77
4  1780314667681  3265  3.20
5  1780314670950  2365  2.32
6  1780314673322  3471  3.37
7  1780314676797  3374  3.33
8  1780314680175  4596  4.51
9  1780314684778  3695  3.65
10  1780314688478  3601  3.55
11  1780314692088  4038  3.88
12  1780314696134  3049  2.95
13  1780314699192  4032  3.93
14  1780314703232  2836  2.73
15  1780314706072  3468  3.41
