# label=A1 dyn=true t=32 alg=ft
# iter  start_epoch_ms  duration_ms  time_in_seconds
1  1780314279764  4521  4.05
2  1780314284288  7721  7.25
3  1780314292016  10071  9.18
4  1780314302094  10778  9.80
5  1780314312877  11390  10.41
6  1780314324273  12576  11.58
7  1780314336855  12901  11.92
8  1780314349764  13886  12.74
9  1780314363656  13464  12.42
10  1780314377123  15646  13.96
11  1780314392775  11878  11.03
12  1780314404656  15140  13.35
13  1780314419802  13541  12.52
14  1780314433351  11206  10.32
15  1780314444565  11435  10.55
