# label=B1 dyn=false t=32 alg=cg
# iter  start_epoch_ms  duration_ms  time_in_seconds
1  1780314466992  4444  3.90
2  1780314471439  4340  3.82
3  1780314475782  11344  10.81
4  1780314487135  11766  10.42
5  1780314498904  13727  12.41
6  1780314512640  13342  12.08
7  1780314525986  13727  12.43
8  1780314539717  14514  13.25
9  1780314554238  13804  12.50
10  1780314568049  14110  12.84
11  1780314582162  13885  12.59
12  1780314596053  14459  13.13
13  1780314610518  14042  12.77
14  1780314624568  13399  12.13
15  1780314637971  14026  12.70
