# label=A2 dyn=true t=32 alg=cg
# iter  start_epoch_ms  duration_ms  time_in_seconds
1  1780314477001  10113  8.66
2  1780314487123  10936  9.74
3  1780314498068  13245  11.80
4  1780314511321  10457  9.29
5  1780314521787  12437  11.31
6  1780314534233  10777  9.67
7  1780314545019  12036  10.92
8  1780314557063  13659  12.40
9  1780314570731  10465  9.26
10  1780314581204  10671  9.53
11  1780314591883  10948  9.74
12  1780314602841  11741  10.57
13  1780314614589  12510  11.35
14  1780314627108  8737  7.53
15  1780314635853  6308  5.70
