# label=A1 dyn=true t=32 alg=ep
# iter  start_epoch_ms  duration_ms  time_in_seconds
1  1780064558036  1862  1.80
2  1780064559905  3652  3.61
3  1780064563562  5796  5.77
4  1780064569366  5812  5.77
5  1780064575186  7263  7.20
6  1780064582457  7367  7.31
7  1780064589830  7353  7.30
8  1780064597189  7356  7.28
9  1780064604552  7353  7.28
10  1780064611915  7249  7.20
11  1780064619170  7344  7.30
12  1780064626523  7344  7.29
13  1780064633876  7342  7.29
14  1780064641226  7422  7.36
15  1780064648656  7367  7.31
