# label=B1 dyn=false t=32 alg=ep
# iter  start_epoch_ms  duration_ms  time_in_seconds
1  1780064558037  3362  3.31
2  1780064561406  3336  3.31
3  1780064564745  3344  3.31
4  1780064568309  5162  5.13
5  1780064573477  3714  3.57
6  1780064577199  3661  3.55
7  1780064580868  3696  3.56
8  1780064584570  5153  5.06
9  1780064589726  5217  5.15
10  1780064594949  5201  5.16
11  1780064600159  3102  2.97
12  1780064603269  3568  3.44
13  1780064606840  4195  4.17
14  1780064611041  4974  4.93
15  1780064616021  3122  3.03
