# label=A2 dyn=true t=32 alg=cg
# iter  start_epoch_ms  duration_ms  time_in_seconds
1  1780064361867  11157  9.88
2  1780064373029  10371  9.16
3  1780064383404  10633  9.51
4  1780064394045  9334  8.21
5  1780064403388  10650  9.41
6  1780064414045  9968  8.58
7  1780064424021  10959  9.53
8  1780064434990  10611  9.50
9  1780064445608  10496  9.32
10  1780064456113  11113  9.96
11  1780064467234  10929  9.81
12  1780064478171  11029  9.86
13  1780064489209  8741  7.60
14  1780064497959  6396  5.79
15  1780064504362  6025  5.47
