# label=A1 dyn=true t=32 alg=cg
# iter  start_epoch_ms  duration_ms  time_in_seconds
1  1780064351609  4157  3.60
2  1780064355774  5819  5.26
3  1780064361601  9380  8.00
4  1780064370990  10904  9.72
5  1780064381904  10728  9.50
6  1780064392641  11798  10.60
7  1780064404445  9469  8.34
8  1780064413923  10014  8.63
9  1780064423946  9869  8.46
10  1780064433821  9958  8.79
11  1780064443786  10435  9.22
12  1780064454230  10464  9.31
13  1780064464703  10343  9.16
14  1780064475055  10530  9.42
15  1780064485594  10326  9.16
