# label=B1 dyn=false t=32 alg=ft
# iter  start_epoch_ms  duration_ms  time_in_seconds
1  1780064181284  4665  4.07
2  1780064185952  4366  4.06
3  1780064190322  9002  8.67
4  1780064199333  10512  9.75
5  1780064209854  10355  9.64
6  1780064220218  10635  9.86
7  1780064230862  10567  9.76
8  1780064241440  10412  9.64
9  1780064251861  10233  9.49
10  1780064262103  10697  9.87
11  1780064272809  10811  10.01
12  1780064283629  10759  10.00
13  1780064294397  10452  9.72
14  1780064304857  10751  9.97
15  1780064315617  10528  9.71
