# label=B2 dyn=false t=32 alg=cg
# iter  start_epoch_ms  duration_ms  time_in_seconds
1  1780064361867  14547  13.28
2  1780064376423  14228  12.95
3  1780064390655  13423  12.08
4  1780064404083  15295  13.98
5  1780064419388  15998  14.63
6  1780064435391  15214  13.88
7  1780064450614  13995  12.68
8  1780064464619  13612  12.25
9  1780064478236  14674  13.37
10  1780064492915  15445  14.13
11  1780064508368  14449  13.09
12  1780064522826  13446  12.05
13  1780064536281  11349  10.12
14  1780064547637  4594  4.06
15  1780064552238  4919  4.38
