# label=A2 dyn=true t=32 alg=ep
# iter  start_epoch_ms  duration_ms  time_in_seconds
1  1780064568311  5918  5.86
2  1780064574238  7365  7.30
3  1780064581610  6750  6.70
4  1780064588369  6657  6.60
5  1780064595035  6755  6.69
6  1780064601798  7263  7.21
7  1780064609067  7359  7.30
8  1780064616435  7166  7.12
9  1780064623603  7338  7.29
10  1780064630949  7338  7.29
11  1780064638295  7346  7.29
12  1780064645649  7353  7.29
13  1780064653010  7250  7.20
14  1780064660268  5796  5.76
15  1780064666072  6646  6.61
