# label=B2 dyn=false t=32 alg=cg
# iter  start_epoch_ms  duration_ms  time_in_seconds
1  1780297867315  14256  12.93
2  1780297881580  15307  13.97
3  1780297896896  14766  13.42
4  1780297911672  14565  13.18
5  1780297926242  14192  12.78
6  1780297940443  14244  12.81
7  1780297954692  14655  13.27
8  1780297969356  14393  13.03
9  1780297983756  13900  12.55
10  1780297997661  15295  14.01
11  1780298012960  14360  13.06
12  1780298027330  14542  13.21
13  1780298041880  9513  8.15
14  1780298051396  4274  3.75
15  1780298055673  4610  4.08
