# label=A1 dyn=true t=32 alg=cg
# iter  start_epoch_ms  duration_ms  time_in_seconds
1  1780297857287  4310  3.77
2  1780297861600  8068  7.51
3  1780297869678  10471  9.35
4  1780297880157  12119  10.93
5  1780297892284  13210  12.06
6  1780297905501  10628  9.41
7  1780297916137  15928  14.73
8  1780297932074  11576  10.34
9  1780297943662  11217  10.00
10  1780297954888  10632  9.40
11  1780297965527  11327  10.12
12  1780297976862  11591  10.33
13  1780297988461  11953  10.79
14  1780298000422  12686  11.51
15  1780298013117  13349  12.15
