# label=A2 dyn=true t=32 alg=cg
# iter  start_epoch_ms  duration_ms  time_in_seconds
1  1780297867314  11257  9.69
2  1780297878581  10461  9.29
3  1780297889050  10529  9.36
4  1780297899588  12647  11.48
5  1780297912243  12043  10.85
6  1780297924294  11366  10.19
7  1780297935670  10366  9.06
8  1780297946045  10315  9.03
9  1780297956368  11225  10.03
10  1780297967601  10308  9.08
11  1780297977917  9378  8.21
12  1780297987304  10389  9.09
13  1780297997701  10703  9.54
14  1780298008408  11438  10.27
15  1780298019854  8577  7.40
