# label=A2 dyn=true t=32 alg=ft
# iter  start_epoch_ms  duration_ms  time_in_seconds
1  1780297676243  10582  9.55
2  1780297686834  11233  10.24
3  1780297698076  12497  11.64
4  1780297710581  16296  14.59
5  1780297726886  11449  10.41
6  1780297738345  11704  10.81
7  1780297750057  12113  11.16
8  1780297762179  12128  11.19
9  1780297774316  11926  10.92
10  1780297786252  13044  12.17
11  1780297799305  11053  10.03
12  1780297810366  15075  14.06
13  1780297825450  12138  11.11
14  1780297837597  11722  10.74
15  1780297849328  7085  6.24
