# label=A1 dyn=true t=32 alg=ep
# iter  start_epoch_ms  duration_ms  time_in_seconds
1  1780298061156  2064  2.01
2  1780298063228  3567  3.53
3  1780298066803  6036  6.00
4  1780298072847  5758  5.71
5  1780298078612  5765  5.71
6  1780298084380  7491  7.44
7  1780298091879  7183  7.11
8  1780298099070  9649  9.56
9  1780298108727  7154  7.10
10  1780298115890  3711  3.66
11  1780298119609  9493  9.43
12  1780298129111  5927  5.87
13  1780298135046  7177  7.12
14  1780298142231  7335  7.28
15  1780298149574  7455  7.40
