# label=A1 dyn=true t=32 alg=ft
# iter  start_epoch_ms  duration_ms  time_in_seconds
1  1780297666236  4487  4.03
2  1780297670730  7851  7.38
3  1780297678585  10922  10.00
4  1780297689514  11823  10.86
5  1780297701342  15531  14.55
6  1780297716877  13388  12.43
7  1780297730272  13703  12.54
8  1780297743985  11752  10.87
9  1780297755745  11847  10.91
10  1780297767601  13165  12.17
11  1780297780773  15231  14.32
12  1780297796014  11464  10.42
13  1780297807487  12802  11.89
14  1780297820298  14238  12.71
15  1780297834545  12178  11.27
