# label=A2 dyn=true t=32 alg=cg
# iter  start_epoch_ms  duration_ms  time_in_seconds
1  1782676616805  9343  7.80
2  1782676626658  9333  8.02
3  1782676636503  9446  8.13
4  1782676646461  9278  7.88
5  1782676656251  9233  7.67
6  1782676665996  9411  8.02
7  1782676675919  9693  8.39
8  1782676686121  9361  7.93
9  1782676695993  9453  8.18
10  1782676705957  9438  7.90
11  1782676715907  9123  7.84
12  1782676725542  9789  8.51
13  1782676735842  9100  7.69
14  1782676745454  9841  8.57
15  1782676755807  7284  5.71
