# label=B2 dyn=false t=32 alg=cg
# iter  start_epoch_ms  duration_ms  time_in_seconds
1  1782676616804  12031  10.74
2  1782676629346  14143  12.70
3  1782676643996  12772  11.52
4  1782676657275  14435  13.10
5  1782676672222  13579  12.23
6  1782676686307  13515  12.15
7  1782676700331  12843  11.52
8  1782676713681  13101  11.82
9  1782676727289  12413  11.11
10  1782676740210  13374  12.10
11  1782676754097  13255  12.01
12  1782676767862  12846  11.66
13  1782676781218  13084  11.82
14  1782676794812  12824  11.47
15  1782676808147  12130  10.83
