# label=B1 dyn=false t=32 alg=cg
# iter  start_epoch_ms  duration_ms  time_in_seconds
1  1782676614795  9370  8.81
2  1782676624677  12311  11.07
3  1782676637498  14782  13.46
4  1782676652787  13701  12.34
5  1782676666995  13197  11.89
6  1782676680704  13920  12.59
7  1782676695136  13001  11.69
8  1782676708650  12453  11.23
9  1782676721616  13585  12.27
10  1782676735709  13661  12.42
11  1782676749878  12446  11.12
12  1782676762833  13091  11.64
13  1782676776433  13333  11.98
14  1782676790277  13681  12.31
15  1782676804468  14720  13.37
