kernel,mode,effective_fraction,bootstrap_95_low,bootstrap_95_high,rmse_seconds,nrmse_percent,holdout_prediction_seconds,holdout_observed_seconds,holdout_error_percent
EP,dynamic=true,0.019530601956623973,0.017351980888881145,0.02178885714566883,0.3430066918006584,1.5254165542297615,4.8071905940594055,4.0515,18.652118821656316
EP,dynamic=false,0.0073058745446259185,0.005154865358613611,0.009909848630610393,0.1207124653239207,0.5487154716507526,3.988071782178218,3.718,7.263899466869766
FT,dynamic=true,0.010218525053928987,0.009023987663959851,0.011525098234292442,0.21439172318397381,0.5218654566839179,7.424482673267327,7.683,-3.3647966514730347
FT,dynamic=false,0.03325738789212068,0.03183315753146354,0.034751948027913114,0.7459387428124521,1.6909304345151597,10.563673267326731,9.267,13.992373662746646
CG,dynamic=true,0.01936495242213046,0.016672722700277986,0.021955832816345295,0.3224300759778339,0.9332733476837758,6.79360396039604,7.2915,-6.828444621874237
CG,dynamic=false,0.07674347300655164,0.07154406298849063,0.08190596274178184,1.0875359114732897,2.5909134281674557,13.643683168316832,11.6665,16.94752640737867
