# label=A2 dyn=true t=32 alg=ep
# iter  start_epoch_ms  duration_ms  time_in_seconds
1  1782720374534  5866  5.77
2  1782720380910  6699  6.65
3  1782720388118  8362  8.30
4  1782720396991  3731  3.68
5  1782720401230  9595  9.54
6  1782720411335  8723  8.67
7  1782720420567  5846  5.78
8  1782720426921  8307  8.26
9  1782720435739  4400  4.35
10  1782720440650  9608  9.55
11  1782720450769  9481  9.42
12  1782720460761  7180  7.10
13  1782720468454  3561  3.52
14  1782720472528  5654  5.61
15  1782720478694  3565  3.53
