# label=B1 dyn=false t=32 alg=cg
# iter  start_epoch_ms  duration_ms  time_in_seconds
1  1782720166858  4552  4.00
2  1782720171920  4450  3.92
3  1782720176880  13273  12.06
4  1782720190659  12575  11.21
5  1782720203746  13034  11.67
6  1782720217290  14748  13.42
7  1782720232545  14021  12.65
8  1782720247073  14190  12.85
9  1782720261769  13809  12.57
10  1782720276084  13194  11.92
11  1782720289790  13182  11.91
12  1782720303483  14143  12.70
13  1782720318136  14731  13.52
14  1782720333376  13422  12.07
15  1782720347307  11066  9.87
