# label=B2 dyn=false t=32 alg=ep
# iter  start_epoch_ms  duration_ms  time_in_seconds
1  1782720374534  3956  3.86
2  1782720378996  5089  4.94
3  1782720384596  3077  3.01
4  1782720388184  3314  3.14
5  1782720392006  3280  3.16
6  1782720395794  3257  3.15
7  1782720399561  3555  3.42
8  1782720403620  3222  3.12
9  1782720407352  3238  3.12
10  1782720411101  2959  2.85
11  1782720414568  3362  3.26
12  1782720418441  3675  3.54
13  1782720422624  3072  3.02
14  1782720426204  3253  3.21
15  1782720429967  1803  1.77
