# label=A1 dyn=true t=32 alg=ep
# iter  start_epoch_ms  duration_ms  time_in_seconds
1  1782720369532  1829  1.77
2  1782720371867  3668  3.63
3  1782720376044  7151  7.10
4  1782720383700  7154  7.09
5  1782720391364  7177  7.12
6  1782720399051  7270  7.20
7  1782720406831  3646  3.60
8  1782720410987  7245  7.20
9  1782720418742  3704  3.65
10  1782720422957  7229  7.17
11  1782720430697  7169  7.11
12  1782720438377  7532  7.46
13  1782720446420  3648  3.59
14  1782720450579  7202  7.16
15  1782720458292  3656  3.60
