# label=B2 dyn=false t=32 alg=ft
# iter  start_epoch_ms  duration_ms  time_in_seconds
1  1782719982863  10385  9.48
2  1782719993758  9766  8.95
3  1782720004033  10096  9.23
4  1782720014641  10052  9.19
5  1782720025203  9778  9.03
6  1782720035488  10181  9.33
7  1782720046178  10270  9.42
8  1782720056959  10079  9.31
9  1782720067548  9913  9.10
10  1782720077967  9929  9.16
11  1782720088404  10353  9.57
12  1782720099270  10162  9.38
13  1782720109945  9464  8.66
14  1782720119916  4347  4.03
15  1782720124769  4400  4.08
